Date,AAR,BT,Bus,LIRR,MNR,SIR,Subway
11/16/2020,"21,851","658,968","1,079,560","89,463","41,961","3,532","1,741,750"
11/17/2020,"22,524","664,732","1,092,416","86,965","40,078","3,584","1,788,847"
11/18/2020,"23,390","678,350","1,065,597","84,069","39,693","3,495","1,787,688"
11/19/2020,"21,780","698,169","1,056,928","84,662","40,122","3,529","1,757,535"
11/20/2020,"22,945","736,628","1,079,029","87,402","44,683","3,473","1,800,423"
11/21/2020,"13,193","645,448","750,801","39,204","27,716",19,"1,157,957"
11/22/2020,"10,694","517,830","542,124","31,019","20,269",92,"817,963"
11/23/2020,"21,297","660,835","1,005,225","87,693","40,668","3,223","1,646,525"
11/24/2020,"22,814","716,305","1,068,789","89,805","41,772","3,405","1,735,702"
11/25/2020,"21,450","739,563","1,037,242","93,444","46,209","3,166","1,688,227"
11/26/2020,"12,151","476,637","444,391","72,572","20,393",847,"652,276"
11/27/2020,"12,395","579,048","815,993","77,273","25,009","2,046","1,263,473"
11/28/2020,"10,808","561,092","689,580","37,770","24,688","1,203","1,032,823"
11/29/2020,"9,360","548,733","548,548","32,628","21,898",826,"826,974"
11/30/2020,"19,751","574,662","849,277","80,033","37,026","3,035","1,459,131"
12/01/2020,"21,693","855,711","1,068,627","73,589","35,225","3,432","1,706,348"
12/02/2020,"22,712","748,924","1,026,056","73,631","35,615","3,277","1,699,968"
12/03/2020,"22,941","769,462","1,070,197","75,093","37,013","3,325","1,736,045"
12/04/2020,"21,960","777,856","1,024,641","72,062","39,228","3,121","1,701,628"
12/05/2020,"10,151","573,714","617,332","33,528","19,727",996,"1,000,240"
12/06/2020,"9,904","591,731","547,330","35,055","19,652",885,"878,393"
12/07/2020,"21,424","731,655","1,032,813","77,787","36,890","3,209","1,656,627"
12/08/2020,"22,177","746,111","1,034,410","75,033","36,403","3,185","1,540,893"
12/09/2020,"22,459","752,016","1,018,247","74,734","35,917","3,233","1,701,926"
12/10/2020,"22,845","786,581","1,075,970","76,847","37,600","3,346","1,761,336"
12/11/2020,"22,751","823,997","1,064,457","79,717","42,420","3,278","1,786,290"
12/12/2020,"12,307","673,151","703,892","41,791","24,118",20,"1,091,352"
12/13/2020,"10,208","660,776","582,389","39,293","22,669",80,"911,439"
12/14/2020,"21,333","725,902","955,525","75,008","36,057","2,979","1,584,089"
12/15/2020,"23,432","821,393","1,088,287","78,446","38,322","3,353","1,783,388"
12/16/2020,"19,296","632,195","853,797","68,092","33,572","2,899","1,569,079"
12/17/2020,"9,940","298,209","523,854","21,417","12,527","1,613","1,079,818"
12/18/2020,"17,537","738,425","943,587","74,908","41,287","3,063","1,735,664"
12/19/2020,"11,589","653,358","670,787","41,101","24,217",25,"1,112,827"
12/20/2020,"9,585","556,415","516,593","32,597","18,767",736,"821,265"
12/21/2020,"21,647","779,140","1,028,489","81,225","39,814","3,244","1,716,035"
12/22/2020,"22,820","821,140","1,046,799","82,001","39,579","3,254","1,760,948"
12/23/2020,"23,305","867,193","1,048,565","84,404","42,100","3,201","1,772,537"
12/24/2020,"15,928","762,357","822,916","75,759","38,899","2,176","1,312,480"
12/25/2020,"8,611","477,472","314,171","51,348","14,435",631,"485,208"
12/26/2020,"9,094","595,107","559,111","36,047","22,076","1,014","879,170"
12/27/2020,"9,457","596,095","474,033","34,432","20,470",901,"760,350"
12/28/2020,"18,820","745,278","922,336","81,566","41,012","3,027","1,510,168"
12/29/2020,"19,717","761,890","930,711","78,904","39,416","3,097","1,555,198"
12/30/2020,"20,922","801,993","948,194","79,298","40,962","2,990","1,582,486"
12/31/2020,"17,167","706,032","792,993","75,157","39,947","2,162","1,274,984"
01/01/2021,"5,960","446,899","378,288","28,977","14,988",805,"613,692"
01/02/2021,"10,450","626,033","608,686","28,879","23,139","1,194","988,418"
01/03/2021,"9,745","497,567","413,820","20,819","15,546",728,"653,187"
01/04/2021,"20,612","689,950","964,597","71,078","35,679","3,260","1,557,977"
01/05/2021,"21,641","710,475","990,479","70,424","35,805","3,392","1,597,518"
01/06/2021,"22,795","744,816","996,123","70,289","35,857","3,260","1,613,629"
01/07/2021,"21,571","738,699","989,097","69,695","36,344","3,149","1,611,099"
01/08/2021,"21,641","756,595","982,175","68,649","39,102","3,017","1,619,242"
01/09/2021,"12,023","632,270","643,475","26,962","22,332",806,"990,412"
01/10/2021,"9,467","565,726","501,437","23,751","18,076",593,"763,097"
01/11/2021,"21,089","709,963","966,517","72,285","36,015","3,123","1,568,207"
01/12/2021,"21,623","732,786","997,279","71,403","36,563","3,297","1,640,428"
01/13/2021,"22,720","740,020","996,646","70,591","36,488","3,160","1,641,652"
01/14/2021,"21,950","755,924","1,017,757","70,937","37,403","3,234","1,647,396"
01/15/2021,"21,819","790,866","981,817","70,180","41,025","2,978","1,627,120"
01/16/2021,"11,654","632,549","645,625","27,116","22,548","1,099","991,500"
01/17/2021,"9,880","582,016","504,031","24,223","20,269",910,"797,654"
01/18/2021,"14,124","691,017","766,926","68,674","22,337","2,141","1,276,978"
01/19/2021,"21,049","738,221","1,013,616","72,565","36,885","3,328","1,635,915"
01/20/2021,"19,281","714,588","921,371","67,925","35,263","2,963","1,575,075"
01/21/2021,"19,925","762,233","1,007,042","71,225","37,003","3,258","1,652,842"
01/22/2021,"20,375","789,504","1,018,584","71,317","40,981","3,174","1,672,001"
01/23/2021,"10,536","641,840","619,673","27,942","22,216","1,114","997,551"
01/24/2021,"8,317","561,859","458,203","23,974","17,881",821,"741,139"
01/25/2021,"19,991","729,490","978,987","73,131","36,509","3,226","1,592,468"
01/26/2021,"18,115","655,013","911,579","68,237","34,574","2,965","1,550,953"
01/27/2021,"19,841","742,279","1,004,792","70,353","35,635","3,098","1,660,278"
01/28/2021,"20,139","770,803","950,205","70,023","37,015","3,208","1,646,806"
01/29/2021,"19,047","782,378","812,264","65,128","37,760","2,646","1,511,680"
01/30/2021,"10,284","654,176","566,837","26,642","21,229",811,"942,615"
01/31/2021,"8,616","574,927","427,945","23,091","17,531",620,"722,853"
02/01/2021,"12,202","157,422","337,228","8,611","12,093",954,"583,230"
02/02/2021,"8,155","312,589","543,073","22,756","22,258","1,517","1,005,985"
02/03/2021,"16,869","658,681","949,695","69,068","36,347","3,057","1,702,598"
02/04/2021,"20,328","744,332","1,033,791","71,341","37,590","3,381","1,785,833"
02/05/2021,"20,136","768,269","1,001,775","68,866","40,322","3,115","1,741,015"
02/06/2021,"12,020","691,034","715,717","29,248","25,168","1,280","1,148,477"
02/07/2021,"7,115","340,934","367,095","17,110","14,068",736,"652,521"
02/08/2021,"17,786","703,137","964,007","70,984","36,921","3,075","1,639,753"
02/09/2021,"19,386","684,228","992,290","69,548","34,582","3,123","1,666,467"
02/10/2021,"22,169","771,226","1,052,021","71,257","36,580","3,284","1,750,121"
02/11/2021,"20,144","757,548","1,005,348","70,196","37,230","3,148","1,714,656"
02/12/2021,"20,165","806,177","965,421","72,130","42,228","2,823","1,706,430"
02/13/2021,"11,669","668,385","656,637","29,284","25,456","1,198","1,092,063"
02/14/2021,"7,835","552,596","479,319","23,392","20,489",863,"858,014"
02/15/2021,"11,437","643,715","726,412","65,652","21,792","1,764","1,218,593"
02/16/2021,"19,126","728,390","963,223","72,718","36,234","3,211","1,627,528"
